Age,disuti_M,disuti_L,disuti_U,QL00_M,QL00_L,QL00_U,QL15_M,QL15_L,QL15_U,QL35_M,QL35_L,QL35_U,Batch
80,0.45153046954754505,0.4338363697860274,0.47019212616989736,0.14131209806252237,0.12819556450085545,0.15693112190631225,0.14106801133288055,0.12797433858900328,0.15662436795702125,0.14074945669653569,0.12768569767778273,0.15622431187767705,0.4449712235946208
85,0.47676841383981466,0.45389599989514207,0.5014066925401399,0.14871825390789167,0.13421733221613077,0.166382806532027,0.14841783292641597,0.13398098721015603,0.1660310643956896,0.14804404822015652,0.1336564493158634,0.16557247426543031,0.4449712235946208
90,0.5030018042380129,0.4743742711210503,0.5354321079921647,0.1567137638392121,0.14047913846891852,0.17617761552769684,0.15637065348846854,0.14015187121512018,0.1756959582816851,0.15590291537180495,0.13976459448343032,0.1750688509650954,0.4449712235946208
50,0.32673385514923636,0.3104431803179119,0.3435026447423186,0.10206362864455325,0.09185367588106914,0.11349573867783178,0.1019909410499115,0.09179897273793061,0.11340006211816019,0.10189586755014055,0.09172740680043112,0.11327495742472465,0.06589356041513383
55,0.34478694649719216,0.33108361862141383,0.35934654505101193,0.10744068720219464,0.09700424106813214,0.11926041570150721,0.10735166255714414,0.09693898817594009,0.11914962272044195,0.10723525382800025,0.09685363810620791,0.11901352247429077,0.06589356041513383
60,0.36383794192720237,0.35209668478557904,0.37657564506078484,0.11310079508308632,0.10232428976523089,0.1257339036458798,0.11299215467569547,0.1022241496446415,0.12560526044721743,0.11285013745813055,0.10208994995451022,0.1254371211416294,0.06589356041513383
65,0.38404913837111265,0.37310831656221355,0.3958989413273661,0.11911786619748518,0.10798088609565838,0.1320599189285708,0.1189910337400259,0.10786920148422033,0.13190837595301402,0.11881441245053578,0.10772324559683479,0.13171035599250203,0.06589356041513383
70,0.4055977209073345,0.3940774960787329,0.41770411940951946,0.12536725480833852,0.11371248203208899,0.13951770550611595,0.12520379593089065,0.11355748487220643,0.13932277393717063,0.12497968264815931,0.11335506547676465,0.1390833534950383,0.06589356041513383
75,0.42807240596932783,0.4143463352192689,0.44256117729025124,0.13216654069485922,0.11926275620034314,0.1474180875506084,0.1319636078896007,0.11908587310025012,0.14717748662243824,0.13170275957147837,0.1188549568490526,0.14683450924706057,0.06589356041513383
80,0.45179834462210133,0.43380196862759135,0.4707778319647819,0.1392276007734296,0.1252398316088839,0.15548969473782087,0.13897949011258115,0.125032971393268,0.15520708917296955,0.13866068681105248,0.12476292938267423,0.15480809869683698,0.06589356041513383
85,0.4770266136151197,0.453527948649051,0.5016308050407438,0.14670758469960846,0.13121359154983012,0.16476430833305858,0.14641204287267617,0.13097488859826406,0.16440761837441958,0.14602221929375347,0.13066349774848607,0.16394246774174712,0.06589356041513383
90,0.5032978972735265,0.47411097062613783,0.5353132756308469,0.15445586589173588,0.13760024037657817,0.17457122175125894,0.15412567574898023,0.13731082918494675,0.1741276353750943,0.1536786975547244,0.1369233309290309,0.17354983013038072,0.06589356041513383
50,0.3270785662824689,0.31232954440002636,0.342665561561116,0.10282079911990633,0.09295142812007125,0.1141620562853618,0.10275401816849794,0.09289295560779072,0.11407882398449941,0.10266234794752055,0.09281056786386027,0.11396996452515512,0.8592022685334086
55,0.34521144205457865,0.3320709095033602,0.3591023581000879,0.10825254954756983,0.09810716514039534,0.11990574385534795,0.10816183388778378,0.09803511895908032,0.11979769832068926,0.1080401502730211,0.0979413782134319,0.11965643733068904,0.8592022685334086
60,0.3641357917262448,0.3527281295302193,0.37684483250885276,0.11401663758775228,0.10330631570405797,0.12643622962517193,0.11390404784371969,0.1032122481510211,0.12630766243779798,0.11375553199834879,0.1030892822645452,0.1261325617174578,0.8592022685334086
65,0.3842416433046345,0.3735423813306857,0.3956842257413704,0.12009610535862701,0.10875838531799253,0.13355907735659128,0.1199588928682516,0.1086370984790381,0.13339584880724148,0.1197809929075512,0.10847862439716066,0.13318252930959162,0.8592022685334086
70,0.40565693125279145,0.3941895019736915,0.4176074494507232,0.12653771150358475,0.1145392586735408,0.14067448708885777,0.1263658170161705,0.11439451014921893,0.1404802082822596,0.1261431703312404,0.11420543363225405,0.14022976030170672,0.8592022685334086
75,0.42808549677079377,0.41388656822269226,0.4425578454989921,0.13335967806111454,0.11997976245040438,0.1485364141344182,0.13314864449692917,0.1198017879499224,0.14830337361311952,0.1328851365744989,0.1195694505576112,0.1479991546229228,0.8592022685334086
80,0.4518115508591225,0.43355727552129625,0.4705381116784977,0.14049815940923277,0.12614975825228522,0.15727841396189798,0.1402467155995321,0.12593264524797332,0.15698723539990267,0.13992133170735782,0.12567137754534455,0.15660719791462568,0.8592022685334086
85,0.4768105082492293,0.45345239324574554,0.4999983618959743,0.14808459718849837,0.13285943968312916,0.16676909009260854,0.14779782068174124,0.13261015274321714,0.1664081448601677,0.14739923279042513,0.13228500269756696,0.165928547550845,0.8592022685334086
