Time,Q_1_M,Q_1_L,Q_1_U,Q_2_M,Q_2_L,Q_2_U,PZ_M,PZ_L,PZ_U,P_C1_M,P_C1_L,P_C1_U,P_C2_M,P_C2_L,P_C2_U,QE_M,QE_L,QE_U,QL_M,QL_L,QL_U,Batch,Set
0,0.7863934449729538,0.7767184682707836,0.7961315233330511,0.21431968539627638,0.19682696311167405,0.2310849800917223,0.152851049621338,0.10290140837679075,0.21883087358603515,0.6757965371490522,0.6116409735202696,0.7397748780415093,0.1673712422666393,0.12351328745548468,0.2241218940964075,0.5681786392311005,0.5202523785013291,0.6115441099276238,0.43182136076889954,0.38845589007237624,0.4797476214986709,s7,2gp
14,0.7863934449729538,0.7767184682707836,0.7961315233330511,0.21431968539627638,0.19682696311167405,0.2310849800917223,0.152851049621338,0.10290140837679075,0.21883087358603515,0.6757965371490522,0.6116409735202696,0.7397748780415093,0.1673712422666393,0.12351328745548468,0.2241218940964075,0.5681786392311005,0.5202523785013291,0.6115441099276238,0.43182136076889954,0.38845589007237624,0.4797476214986709,s7,2gp
30,0.7863934449729538,0.7767184682707836,0.7961315233330511,0.21431968539627638,0.19682696311167405,0.2310849800917223,0.14439108352607685,0.09816054561704607,0.2016689407159082,0.6943598100614551,0.6242852012434105,0.7590109997738932,0.15903213083165396,0.11289051814531141,0.21589194406262266,0.5801663562573335,0.5329313255861649,0.6260947604374842,0.4198336437426665,0.3739052395625157,0.4670686744138351,s7,2gp
60,0.7863934449729538,0.7767184682707836,0.7961315233330511,0.21431968539627638,0.19682696311167405,0.2310849800917223,0.1257802854608846,0.07980998889440405,0.18266273225462376,0.7601936691891575,0.6943594439634171,0.8189189323892222,0.11164167610214987,0.07377799351883776,0.16305929491777005,0.6215189275167436,0.5738327341074145,0.6640257151396453,0.3784810724832564,0.33597428486035474,0.4261672658925854,s7,2gp
90,0.7863934449729538,0.7767184682707836,0.7961315233330511,0.21431968539627638,0.19682696311167405,0.2310849800917223,0.1257802854608846,0.07980998889440405,0.18266273225462376,0.7601936691891575,0.6943594439634171,0.8189189323892222,0.11164167610214987,0.07377799351883776,0.16305929491777005,0.6215189275167436,0.5738327341074145,0.6640257151396453,0.3784810724832564,0.33597428486035474,0.4261672658925854,s7,2gp
0,0.7751872538465809,0.7642940490497261,0.7852905902147317,0.19667078565702403,0.17944119961132068,0.21433950398648283,0.14305899106936476,0.09897565291576929,0.1960373055009671,0.6580146707732014,0.5928430492030079,0.7194885668981371,0.1983844633720262,0.14693278028324194,0.25324521240983755,0.5494398671605949,0.5052530607766945,0.5909518500890677,0.45056013283940505,0.40904814991093225,0.4947469392233055,s8,2gp
14,0.7751872538465809,0.7642940490497261,0.7852905902147317,0.19667078565702403,0.17944119961132068,0.21433950398648283,0.14305899106936476,0.09897565291576929,0.1960373055009671,0.6580146707732014,0.5928430492030079,0.7194885668981371,0.1983844633720262,0.14693278028324194,0.25324521240983755,0.5494398671605949,0.5052530607766945,0.5909518500890677,0.45056013283940505,0.40904814991093225,0.4947469392233055,s8,2gp
30,0.7751872538465809,0.7642940490497261,0.7852905902147317,0.19667078565702403,0.17944119961132068,0.21433950398648283,0.14061237772483215,0.09460324876137077,0.20129980861211205,0.6895167808742539,0.614903343306153,0.7551740201996483,0.16742200760687442,0.11727343141160264,0.22709713663504044,0.5676029573327503,0.5168603540508373,0.6141833171686524,0.43239704266724965,0.38581668283134757,0.4831396459491626,s8,2gp
60,0.7751872538465809,0.7642940490497261,0.7852905902147317,0.19667078565702403,0.17944119961132068,0.21433950398648283,0.15842421586719035,0.1064947572297333,0.2213291545403593,0.7548254558687237,0.6865906709282574,0.8122054337817681,0.08491470176444099,0.05082682512583917,0.12832929666043655,0.6019905813976352,0.5516634895334233,0.6442542745362418,0.3980094186023648,0.35574572546375816,0.4483365104665767,s8,2gp
90,0.7751872538465809,0.7642940490497261,0.7852905902147317,0.19667078565702403,0.17944119961132068,0.21433950398648283,0.15842421586719035,0.1064947572297333,0.2213291545403593,0.7548254558687237,0.6865906709282574,0.8122054337817681,0.08491470176444099,0.05082682512583917,0.12832929666043655,0.6019905813976352,0.5516634895334233,0.6442542745362418,0.3980094186023648,0.35574572546375816,0.4483365104665767,s8,2gp
0,0.7756423845655738,0.7659959529211889,0.7854761035621297,0.19405402975720226,0.17519228947694032,0.21221538743076968,0.15223562726471157,0.10646597854758219,0.20648923111832046,0.6667990527160794,0.6035947111184772,0.727897005002632,0.18009816486199448,0.13450582923206572,0.23479870074824413,0.5523587841801174,0.507991949596452,0.5946485234838491,0.44764121581988264,0.4053514765161509,0.492008050403548,s9,2gp
14,0.7756423845655738,0.7659959529211889,0.7854761035621297,0.19405402975720226,0.17519228947694032,0.21221538743076968,0.15223562726471157,0.10646597854758219,0.20648923111832046,0.6667990527160794,0.6035947111184772,0.727897005002632,0.18009816486199448,0.13450582923206572,0.23479870074824413,0.5523587841801174,0.507991949596452,0.5946485234838491,0.44764121581988264,0.4053514765161509,0.492008050403548,s9,2gp
30,0.7756423845655738,0.7659959529211889,0.7854761035621297,0.19405402975720226,0.17519228947694032,0.21221538743076968,0.15465577568426903,0.1023001132354432,0.21355839170309684,0.6773147125883956,0.6024647540184295,0.7476102171090948,0.167359423355609,0.11592139647817891,0.22597757350737221,0.5582056261909449,0.5065893277305132,0.606196510430991,0.441794373809055,0.393803489569009,0.49341067226948665,s9,2gp
60,0.7756423845655738,0.7659959529211889,0.7854761035621297,0.19405402975720226,0.17519228947694032,0.21221538743076968,0.1013095499235101,0.06076097330973277,0.15460277779690562,0.7942160181616515,0.7296014411746308,0.850451489556774,0.10305034597065449,0.06467636809283078,0.15221957658240048,0.636472613688182,0.5900195276004253,0.6754769956992166,0.3635273863118181,0.32452300430078335,0.40998047239957464,s9,2gp
90,0.7756423845655738,0.7659959529211889,0.7854761035621297,0.19405402975720226,0.17519228947694032,0.21221538743076968,0.1013095499235101,0.06076097330973277,0.15460277779690562,0.7942160181616515,0.7296014411746308,0.850451489556774,0.10305034597065449,0.06467636809283078,0.15221957658240048,0.636472613688182,0.5900195276004253,0.6754769956992166,0.3635273863118181,0.32452300430078335,0.40998047239957464,s9,2gp
