Age,QL00_M,QL00_L,QL00_U,QL15_M,QL15_L,QL15_U,QL35_M,QL35_L,QL35_U,Var
91,0.17727060548287416,0.1614274024688983,0.19436419090941043,0.17602329725825977,0.16036322310712606,0.19284926934306915,0.1743687596685562,0.15896649368280236,0.19086624563738014,s10
92,0.1790036302534067,0.16258098679588476,0.19670946047311325,0.17771012506950926,0.16146569979673514,0.19515772156338826,0.17602036413136543,0.1600492326704145,0.19312711755015785,s10
93,0.18089377398341316,0.16379002897032255,0.19928564260557236,0.17958342470454655,0.1626844545942144,0.1976947751262965,0.17782783510564182,0.16124032347040623,0.1956136331914967,s10
94,0.182736391640664,0.16492908192397132,0.2017797780877065,0.1813778455161378,0.16383132999685246,0.20014825614413623,0.17961647055056665,0.16239049032008523,0.19801442875984257,s10
95,0.1845659940595914,0.16602802203772238,0.20437185349044004,0.18320678615222052,0.16491561042794017,0.2027294918887812,0.1814062882922702,0.16345662428205762,0.2005810153342415,s10
50,0.11753897204549096,0.1090382279277811,0.12689570543495318,0.11697781872791813,0.10852726994420774,0.12623397538136127,0.11623441164288031,0.10787266783512507,0.1253625554991471,s100
51,0.11855790884820161,0.11023654986956237,0.1277876838920465,0.11797665605018715,0.10974993406314906,0.12711493849755676,0.11720481201842592,0.10908651284213707,0.1262292803323955,s100
52,0.11954502753921006,0.11142399235000486,0.12843966356236217,0.11896870338108446,0.11091196389247496,0.1277922457595354,0.11820559786689543,0.11023682094395139,0.12693947695265306,s100
53,0.12061630425583966,0.11263049678051251,0.12951016572385976,0.1200242241762556,0.11208494469664172,0.12885123365128703,0.11923020143190236,0.11138889226127119,0.12798333629470487,s100
54,0.12171175098273741,0.1139543965259746,0.13075729268407604,0.12111082556033487,0.11342160712395738,0.1300847372385142,0.12031856710132216,0.11269593939098847,0.12919901003071718,s100
55,0.12281494149348804,0.11514719765987769,0.13177529382713052,0.1221981505701204,0.11459202987547025,0.1310943200606232,0.12138877038622092,0.11386155901988668,0.13017882728480396,s100
56,0.1239242477040241,0.11636040852080329,0.13258984141510502,0.12329976756518995,0.11578130171403259,0.13189288828728954,0.12247585943650069,0.11501847603798472,0.13096036833244432,s100
57,0.12498939352984237,0.11753950834478072,0.1334114225375015,0.12435552467505717,0.11696018972686961,0.1327132874902825,0.12351239704645231,0.11619697792302663,0.13179414139717596,s100
58,0.12607112903264897,0.11863831563576754,0.13441598093608234,0.1254168963543536,0.11802921269667803,0.13370513757926733,0.12456375798080337,0.11725177387724936,0.13276936783332188,s100
59,0.12715976992499323,0.11982819939384297,0.13544180350035925,0.12649587905942639,0.11921576494035815,0.13472035602258303,0.12562607814867147,0.11840937484029483,0.13377071224437687,s100
60,0.12833623902489086,0.12108830375075051,0.1364796313018714,0.12765495191281273,0.12048083096023768,0.13574480925425855,0.1267598698371866,0.11966700886096476,0.13478019407480796,s100
61,0.1294662606116867,0.12226009884773395,0.13760442655483968,0.12878443787272448,0.12163762116580935,0.13685042715813495,0.12787447730972895,0.12081843419284612,0.13585834710049666,s100
62,0.13053399842198588,0.12336464525926669,0.13877059768932185,0.1298395068676051,0.12272323039076491,0.13799798523466159,0.12892034368116095,0.1218814348608817,0.13696848203599943,s100
63,0.13167732374142482,0.1245678724835223,0.13968669759586497,0.13096681838736962,0.1239009037810697,0.13891809957170762,0.13003639170399706,0.12302312091298116,0.1379068517734776,s100
64,0.13288740852148578,0.12569815189217717,0.14083052417527658,0.1321660497501231,0.1250204220401362,0.1400487384594389,0.1312167296480592,0.12412765671980118,0.13902085426492924,s100
65,0.13411194885310151,0.12645160056638352,0.14199220916650293,0.13338293487130026,0.1257678740633982,0.14119748120741177,0.13241538155185986,0.12488036887929424,0.14015207409367608,s100
66,0.1353379165152327,0.12741589032092496,0.14315966794865612,0.13456371641551784,0.1267329670311564,0.14235131795913514,0.1335606403126538,0.12583413630250453,0.14128781105234728,s100
67,0.13647439934187888,0.12866747879913437,0.14438093678488556,0.13570497812066074,0.1279628072715855,0.14356058932042126,0.13470815461240684,0.12703547188086764,0.14248113989637193,s100
68,0.13767094515137052,0.12972013403482593,0.14573186422301287,0.1368996940423916,0.12897748823743063,0.14487273566060135,0.13587241710036274,0.12800074860360677,0.14374343418033295,s100
69,0.1388425206618012,0.13085610659450786,0.147063237628771,0.13805321765121034,0.13011586881998996,0.14620079381676218,0.13701511745212996,0.1291667339641141,0.14506692941102756,s100
70,0.1400928799430316,0.13213733337070951,0.14861854098910332,0.13929165535518398,0.13139236677137348,0.14771781579936052,0.1382501826787111,0.13040597752072702,0.14654876633589653,s100
71,0.1413465925943073,0.1331642123796563,0.14994528582587802,0.14052368056309483,0.13241486278872505,0.14905187666804728,0.13944690996357928,0.13142946550051246,0.14787727950578933,s100
72,0.1425673812793427,0.13419847324173526,0.15151177341704622,0.14173308842825838,0.13343763101584466,0.1505853780785557,0.14064605855903275,0.13243722120498844,0.1493679199964138,s100
73,0.1437711799189081,0.13523182380947985,0.1528991903575811,0.1429117122641586,0.1344519663792776,0.15195587168993777,0.141789289104118,0.13343065188821998,0.1507170582316602,s100
74,0.14504614859322695,0.13634465186969033,0.15429924160703262,0.14416965227885803,0.13553823357982497,0.15334985050824512,0.14303118783988147,0.13448158752611175,0.15211685362893218,s100
75,0.14641225668709884,0.13742267331878807,0.1559222503110614,0.14552348070699872,0.1366360627204852,0.15496274944100655,0.14436320529769597,0.13560168612207252,0.15369292192648878,s100
76,0.14770914899887766,0.13843834568301674,0.15780743924168256,0.14681130572804094,0.13762423848485825,0.15677730413543925,0.14563454084958,0.13655437495869144,0.15542344056213936,s100
77,0.14902015033260907,0.13951000123504703,0.1594037421764182,0.14811128653392625,0.138684892107684,0.15839622694685063,0.14691465649170532,0.13760060646977162,0.15707182464230388,s100
78,0.1502594210041477,0.1405636976728042,0.16104602105941632,0.14935111603205214,0.13972621901645615,0.16001311689597927,0.14816111837729823,0.13862616597351543,0.15865678993820273,s100
79,0.1516294207105918,0.14155385089110448,0.1625213986630914,0.15068378752412953,0.14070701564319338,0.1614697457052387,0.14943262948189467,0.1395940712236318,0.160088887767452,s100
80,0.15298946752609005,0.14249197491707621,0.16446384161926653,0.15202137065187926,0.1416504657233353,0.16335146918295895,0.15075806491231114,0.14054436298963835,0.1618920629949244,s100
81,0.15427636437173098,0.1434366790972454,0.16627423341376116,0.15330166735211445,0.14258276626961205,0.1651449346173871,0.1520308527453188,0.14146048566640912,0.16366361755212414,s100
82,0.15560622670102076,0.14438416936814066,0.16813782798824306,0.15459516284539432,0.14351942769457895,0.1669909241709248,0.15328890310138132,0.14238302067844086,0.16548582725782346,s100
83,0.1568978620133032,0.14533237781595706,0.16995402107087085,0.1558815028422682,0.14445551494442968,0.16879654996365628,0.1545571317710312,0.14330352853908515,0.16727814608905506,s100
84,0.158258485036105,0.14620941858392,0.17175834688754038,0.15721465074785484,0.1453124006100638,0.170565195900321,0.1558216248997915,0.14413388011151074,0.1690053520666233,s100
