study,proxy,Source,Age,norm,norm_leoss,SID,SIK
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,42,0.949,0.9364586631837232,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,43,0.949,0.9326794449249686,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,44,0.949,0.9286716468263988,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,45,0.915,0.9244648710362282,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,46,0.915,0.9200887197026708,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,47,0.915,0.9155727949739416,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,48,0.915,0.910946698998254,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,49,0.915,0.9062400339238228,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,50,0.915,0.9010112429808405,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,51,0.915,0.89493795731629,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,52,0.915,0.888228560953572,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,53,0.915,0.8810914379160885,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,54,0.915,0.873734972227239,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,55,0.828,0.8663675479104251,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,56,0.828,0.8591975489890475,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,57,0.828,0.8524333594865072,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,58,0.828,0.8462833634262047,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,59,0.828,0.8409559448315411,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,60,0.828,0.8360179804541376,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,61,0.828,0.8309467738680514,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,62,0.828,0.8258163493303384,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,63,0.828,0.8207007310980537,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,64,0.828,0.8156739434282526,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,65,0.787,0.8108100105779911,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,66,0.787,0.8061829568043238,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,67,0.787,0.80186680636430685,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,68,0.787,0.7979355835149953,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,69,0.787,0.7944633125134444,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,70,0.787,0.79152401761671,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,71,0.787,0.7890963946704977,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,72,0.787,0.7870742045262299,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,73,0.787,0.7854040689495355,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,74,0.787,0.7840326097060446,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,75,0.787,0.7829064485613864,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,76,0.787,0.7819722072811907,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,77,0.787,0.7811765076310865,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,78,0.787,0.7804659713767038,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,79,0.787,0.7797872202836718,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,80,0.787,0.7790868761176201,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,81,0.787,0.778471747934693,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,82,0.787,0.7780763320590763,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,83,0.787,0.7778887811584623,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,84,0.787,0.7778972479005435,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,85,0.787,0.7780898849530117,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,86,0.787,0.7784548449835597,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,87,0.787,0.778980280659879,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,88,0.787,0.7796543446496627,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,89,0.787,0.7804651896206022,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,90,0.787,0.7814009682403904,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,91,0.787,0.7824618021849081,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,92,0.787,0.7836585721949425,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,93,0.787,0.7849955695355432,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,94,0.787,0.7864770854717607,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,95,0.787,0.7881074112686453,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,96,0.787,0.7898908381912472,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,97,0.787,0.7918316575046167,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,98,0.787,0.793934160473804,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,99,0.787,0.7962026383638596,RamKOR,4
Rampakakis et al. 2017 Korea,Korea,Janssen et al.,100,0.787,0.7986413824398336,RamKOR,4
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,18,0.873,0.8854718207624798,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,19,0.873,0.8825730442321693,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,20,0.876,0.8796745135054226,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,21,0.876,0.8767720774569682,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,22,0.876,0.8738615849615343,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,23,0.876,0.8709388848938499,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,24,0.876,0.8679998261286429,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,25,0.859,0.8650402575406421,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,26,0.859,0.862056028004576,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,27,0.859,0.8590429863951731,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,28,0.859,0.8559969815871616,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,29,0.859,0.8529056368293785,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,30,0.85,0.8497673068744681,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,31,0.85,0.8465939378528695,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,32,0.85,0.8433974758950235,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,33,0.85,0.8401898671313691,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,34,0.85,0.8369830576923467,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,35,0.834,0.8337889937083955,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,36,0.834,0.8306196213099561,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,37,0.834,0.8274868866274678,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,38,0.834,0.8244027357913706,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,39,0.834,0.8212422104025666,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,40,0.817,0.8179029258665242,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,41,0.817,0.8144306890205334,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,42,0.817,0.8108713067018822,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,43,0.817,0.8072705857478606,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,44,0.817,0.8036743329957576,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,45,0.801,0.8001283552828622,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,46,0.801,0.7966784594464636,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,47,0.801,0.7933704523238514,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,48,0.801,0.7902501407523144,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,49,0.801,0.7873633315691417,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,50,0.765,0.7845868919959823,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,51,0.765,0.7817910572323714,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,52,0.765,0.7790116860824275,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,53,0.765,0.7762846373502704,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,54,0.765,0.7736457698400186,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,55,0.762,0.7711309423557913,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,56,0.762,0.7687760137017075,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,57,0.762,0.7666168426818861,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,58,0.762,0.7646892881004462,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,59,0.762,0.7630292087615069,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,60,0.761,0.7617088614626624,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,61,0.761,0.7607410063149412,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,62,0.761,0.7600722570926135,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,63,0.761,0.7596492275699496,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,64,0.761,0.7594185315212196,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,65,0.761,0.7593267827206938,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,66,0.761,0.7593205949426424,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,67,0.761,0.7593465819613355,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,68,0.761,0.7593513575510437,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,69,0.761,0.7592815354860366,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,70,0.761,0.759083729540585,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,71,0.761,0.7588635993109165,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,72,0.761,0.758749151695992,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,73,0.761,0.7587205214241807,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,74,0.761,0.7587578432238525,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,75,0.761,0.7588412518233768,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,76,0.761,0.7589508819511233,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,77,0.761,0.759066868335461,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,78,0.761,0.7591693457047601,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,79,0.761,0.7592384487873896,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,80,0.761,0.7592543123117194,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,81,0.761,0.759256370300281,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,82,0.761,0.7592944201149121,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,83,0.761,0.7593641414929402,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,84,0.761,0.7594612141716944,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,85,0.761,0.759581317888502,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,86,0.761,0.7597201323806919,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,87,0.761,0.7598733373855917,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,88,0.761,0.7600366126405299,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,89,0.761,0.7602056378828345,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,90,0.761,0.7603760928498338,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,91,0.761,0.7605493834966736,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,92,0.761,0.760730713802799,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,93,0.761,0.7609214605419868,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,94,0.761,0.7611230004880143,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,95,0.761,0.7613367104146581,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,96,0.761,0.7615639670956952,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,97,0.761,0.7618061473049021,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,98,0.761,0.7620646278160561,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,99,0.761,0.7623407854029343,RamMEX,5
Rampakakis et al. 2017 Mexico,Brazil,Santos et al.,100,0.761,0.7626359968393129,RamMEX,5
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,18,0.957,0.9506225131279624,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,19,0.957,0.9527585270651882,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,20,0.957,0.9546669410845244,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,21,0.957,0.9563462107280364,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,22,0.957,0.9577947915377888,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,23,0.957,0.9590111390558468,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,24,0.957,0.9599937088242748,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,25,0.958,0.960740956385138,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,26,0.958,0.9612513372805016,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,27,0.958,0.9615233070524306,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,28,0.958,0.9615553212429891,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,29,0.958,0.9613383366080624,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,30,0.958,0.9608682407837426,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,31,0.958,0.9601508856324066,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,32,0.958,0.9591921230164324,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,33,0.958,0.9579978047981969,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,34,0.958,0.9565737828400774,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,35,0.949,0.9549259090044512,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,36,0.949,0.9530600351536958,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,37,0.949,0.950982013150188,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,38,0.949,0.9486976948563056,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,39,0.949,0.946128817438954,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,40,0.949,0.94321295158893,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,41,0.949,0.9399796994544488,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,42,0.949,0.9364586631837232,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,43,0.949,0.9326794449249686,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,44,0.949,0.9286716468263988,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,45,0.915,0.9244648710362282,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,46,0.915,0.9200887197026708,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,47,0.915,0.9155727949739416,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,48,0.915,0.910946698998254,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,49,0.915,0.9062400339238228,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,50,0.915,0.9010112429808405,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,51,0.915,0.89493795731629,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,52,0.915,0.888228560953572,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,53,0.915,0.8810914379160885,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,54,0.915,0.873734972227239,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,55,0.828,0.8663675479104251,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,56,0.828,0.8591975489890475,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,57,0.828,0.8524333594865072,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,58,0.828,0.8462833634262047,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,59,0.828,0.8409559448315411,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,60,0.828,0.8360179804541376,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,61,0.828,0.8309467738680514,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,62,0.828,0.8258163493303384,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,63,0.828,0.8207007310980537,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,64,0.828,0.8156739434282526,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,65,0.787,0.8108100105779911,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,66,0.787,0.8061829568043238,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,67,0.787,0.80186680636430685,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,68,0.787,0.7979355835149953,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,69,0.787,0.7944633125134444,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,70,0.787,0.79152401761671,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,71,0.787,0.7890963946704977,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,72,0.787,0.7870742045262299,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,73,0.787,0.7854040689495355,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,74,0.787,0.7840326097060446,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,75,0.787,0.7829064485613864,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,76,0.787,0.7819722072811907,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,77,0.787,0.7811765076310865,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,78,0.787,0.7804659713767038,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,79,0.787,0.7797872202836718,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,80,0.787,0.7790868761176201,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,81,0.787,0.778471747934693,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,82,0.787,0.7780763320590763,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,83,0.787,0.7778887811584623,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,84,0.787,0.7778972479005435,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,85,0.787,0.7780898849530117,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,86,0.787,0.7784548449835597,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,87,0.787,0.778980280659879,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,88,0.787,0.7796543446496627,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,89,0.787,0.7804651896206022,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,90,0.787,0.7814009682403904,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,91,0.787,0.7824618021849081,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,92,0.787,0.7836585721949425,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,93,0.787,0.7849955695355432,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,94,0.787,0.7864770854717607,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,95,0.787,0.7881074112686453,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,96,0.787,0.7898908381912472,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,97,0.787,0.7918316575046167,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,98,0.787,0.793934160473804,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,99,0.787,0.7962026383638596,RamTWN,6
Rampakakis et al. 2017 Taiwan,Korea,Janssen et al.,100,0.787,0.7986413824398336,RamTWN,6
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,18,0.814,0.81800900243913,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,19,0.814,0.8156340033170326,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,20,0.814,0.8132309743144638,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,21,0.814,0.8107974778222624,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,22,0.814,0.808331076231267,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,23,0.814,0.8058293319323164,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,24,0.814,0.8032898073162495,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,25,0.785,0.8007100647739054,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,26,0.785,0.7980876666961226,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,27,0.785,0.7954201754737402,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,28,0.785,0.7927051534975967,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,29,0.785,0.7899349389297883,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,30,0.785,0.7871082626438962,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,31,0.785,0.7842322760979876,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,32,0.785,0.7813141307501303,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,33,0.785,0.7783609780583912,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,34,0.785,0.7753799694808379,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,35,0.771,0.7723782564755374,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,36,0.771,0.7693629905005576,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,37,0.771,0.7663413230139651,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,38,0.771,0.7633204054738278,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,39,0.771,0.760242868938569,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,40,0.771,0.7570597423830662,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,41,0.771,0.7537907741400685,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,42,0.771,0.7504557125423242,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,43,0.771,0.7470743059225824,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,44,0.771,0.7436663026135918,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,45,0.717,0.740251450948101,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,46,0.717,0.7368494992588587,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,47,0.717,0.7334801958786138,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,48,0.717,0.730163289140115,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,49,0.717,0.726918527376111,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,50,0.717,0.7236159951972994,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,51,0.717,0.7201487935902384,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,52,0.717,0.7165711954514673,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,53,0.717,0.7129374736775262,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,54,0.717,0.7093019011649542,RamTHA,7
Rampakakis et al. 2017 Thailand,Thailand,Janssen et al.,55,0.694,0.7057187508102909,RamTHA,7
